Site,City,meanCan,Canopy,gmcCanopy,meanImp,Impervious,gmcImpervious,meanGrass,Grass,gmcGrass
M08-MMT2,inin,10.551616,2.247474747,-8.304141253,32.890268,47.1986532,14.3083852,22.94625,18.51851852,-4.427731481
M08-WGP1,inin,10.551616,1.144537815,-9.407078185,32.890268,37.86386555,4.97359755,22.94625,22.35294118,-0.593308824
W01-GFP3,inin,10.551616,8.110738255,-2.440877745,32.890268,42.75167785,9.86140985,22.94625,25,2.05375
W01-HCC1,inin,10.551616,3.497478992,-7.054137008,32.890268,47.47731092,14.58704292,22.94625,21.8487395,-1.097510504
W01-WRG1,inin,10.551616,5.583193277,-4.968422723,32.890268,43.12773109,10.23746309,22.94625,16.80672269,-6.139527311
W02-CRS2,inin,10.551616,2.565365025,-7.986250975,32.890268,61.71646859,28.82620059,22.94625,4.923599321,-18.02265068
W02-EMP1,inin,10.551616,8.74789916,-1.80371684,32.890268,39.2907563,6.4004883,22.94625,26.72268908,3.776439076
W02-IZO3,inin,10.551616,3.408783784,-7.142832216,32.890268,55.48648649,22.59621849,22.94625,3.885135135,-19.06111486
W03-CHC1,inin,10.551616,19.9376054,9.3859894,32.890268,20.02698145,-12.86328655,22.94625,44.68802698,21.74177698
W03-MEL1,inin,10.551616,27.23489933,16.68328333,32.890268,20.82214765,-12.06812035,22.94625,31.20805369,8.261803691
W03-RGC1,inin,10.551616,9.449324324,-1.102291676,32.890268,15.23648649,-17.65378151,22.94625,66.89189189,43.94564189
W04-JSP1,inin,10.551616,26.11864407,15.56702807,32.890268,19.34745763,-13.54281037,22.94625,31.18644068,8.240190678
W04-ROW1,inin,10.551616,5.973109244,-4.578506756,32.890268,47.25210084,14.36183284,22.94625,12.60504202,-10.34120798
W04-WPC1,inin,10.551616,12.82747069,2.27585469,32.890268,17.51256281,-15.37770519,22.94625,72.86432161,49.91807161
W05-CPE1,inin,10.551616,11.06440678,0.51279078,32.890268,43.25762712,10.36735912,22.94625,21.3559322,-1.590317797
W05-IHS1,inin,10.551616,24.61848739,14.06687139,32.890268,28.88235294,-4.00791506,22.94625,26.8907563,3.944506303
W06-CNP1,inin,10.551616,25.7147651,15.1631491,32.890268,24.93120805,-7.95905995,22.94625,16.94630872,-5.999941275
W06-UHS1,inin,10.551616,1.805792164,-8.745823836,32.890268,17.11584327,-15.77442473,22.94625,13.9693356,-8.976914395
W07-INA1,inin,10.551616,7.954545455,-2.597070545,32.890268,25.93771044,-6.95255756,22.94625,24.91582492,1.969574916
W07-UES2,inin,10.551616,18.91077441,8.35915841,32.890268,18.48653199,-14.40373601,22.94625,33.67003367,10.72378367
W07-WAF1,inin,10.551616,15.91878173,5.36716573,32.890268,1.517766497,-31.3725015,22.94625,58.54483926,35.59858926
